4, LA BOUM   , 17 décembre 1980 ," Comédie, Romance, Drame   (1h49)  ",Claude Pinoteau,"Sophie Marceau, Brigitte Fossey, Claude Brasseur",
5, GLADIATOR   , 20 juin 2000 ," Action, Aventure   (2h35)  ",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du général et son exécution. Maximus échappe à ses assassins mais ne peut empêcher le massacre de sa famille. Capturé par un marchand d'esclaves, il devient gladiateur et prépare sa vengeance."
4, SORRY WE MISSED YOU   , 23 octobre 2019 , Drame   (1h41)  ,Ken Loach,"Kris Hitchen, Debbie Honeywood, Rhys Stone","Ricky, Abby et leurs deux enfants vivent à Newcastle. Abby travaille avec dévouement pour des personnes âgées à domicile, Ricky enchaîne les jobs mal payés ; ils réalisent que jamais ils ne pourront devenir indépendants ni propriétaires de leur maison. C’est maintenant ou jamais ! "
0," MOI, DANIEL BLAKE   ", 26 octobre 2016 , Drame   (1h40)  ,Ken Loach,"Dave Johns, Hayley Squires, Dylan McKiernan","Pour la première fois de sa vie, Daniel Blake, un menuisier anglais de 59 ans, est contraint de faire appel à laide sociale à la suite de problèmes cardiaques. Mais bien que son médecin lui ait interdit de travailler, il se voit signifier l'obligation d'une recherche d'emploi sous peine de sanction."
5, LE LIVRE DE LA JUNGLE -   , 31 mars 1993 ," Famille, Aventure, Animation   (1h17)  ",Wolfgang Reitherman,,"Le jeune Mowgli, abandonné dans la jungle, est élevé par une louve et protégé par la panthère Bagheera. Afin d'échapper à Shere Khan, le tigre mangeur d'hommes, Bagheera décide de rendre son jeune ami au monde des hommes. En chemin, ils multiplient les rencontres et affrontent de nombreux dangers."
4, LA BOUM   , 17 décembre 1980 ," Comédie, Romance, Drame   (1h49)  ",Claude Pinoteau,"Sophie Marceau, Brigitte Fossey, Claude Brasseur",
4, SORRY WE MISSED YOU   , 23 octobre 2019 , Drame   (1h41)  ,Ken Loach,"Kris Hitchen, Debbie Honeywood, Rhys Stone","Ricky, Abby et leurs deux enfants vivent à Newcastle. Abby travaille avec dévouement pour des personnes âgées à domicile, Ricky enchaîne les jobs mal payés ; ils réalisent que jamais ils ne pourront devenir indépendants ni propriétaires de leur maison. C’est maintenant ou jamais ! "
3, SUPER-HEROS MALGRE LUI   , 02 février 2022 ," Action, Comédie   (1h22)  ",Philippe Lacheau,"Philippe Lacheau, Julien Arruti, Tarek Boudali","Apprenti comédien en galère, Cédric décroche enfin son premier rôle dans un film de super-héros. Un soir, il est victime d'un accident qui lui fait perdre la mémoire. A son réveil, il est persuadé d'être devenu le personnage du film avec une mission périlleuse à accomplir."
0, GOLIATH   , 09 mars 2022 ,Un suicide et le climat de tension sont de nature à troubler un jeune public.,Frédéric Tellier,"Gilles Lellouche, Pierre Niney, Emmanuelle Bercot","France, professeure de sport le jour, ouvrière la nuit, milite activement contre l’usage des pesticides. Patrick, obscur et solitaire avocat parisien, est spécialiste en droit environnemental. Mathias, lobbyiste brillant et homme pressé, défend les intérêts d’un géant de l’agrochimie."
3, ILS SONT VIVANTS   , 23 février 2022 ," Comédie Dramatique, Romance   (1h52)  ",Jérémie Elkaïm,"Marina Foïs, Seear Kohi, Laetitia Dosch","Veuve depuis peu, Béatrice vit avec son fils et sa mère. Sa rencontre avec Mokhtar, enseignant iranien arrivé clandestinement en Europe, va bouleverser son quotidien et ses convictions. Par amour pour lui, elle va devoir défier les préjugés de son entourage et les lois de son pays."
0, JIMMY'S HALL   , 02 juillet 2014 ," Drame, Historique   (1h50)  ",Ken Loach,"Barry Ward, Simone Kirby, Andrew Scott","1932. Après un exil de 10 ans aux États-Unis, Jimmy Gralton rentre au pays. Dans l'Irlande qu'il retrouve, une dizaine d'années après la guerre civile, tous les espoirs sont permis... Malgré sa réticence à provoquer ses vieux ennemis comme l'Église, le jeune militant décide de rouvrir le ""Hall"", foyer de jeunesse gratuit et ouvert à tous où l'on se retrouve pour danser, étudier ou discuter. Mais ses idées progressistes ne sont pas du goût de tout le monde au village, et les tensions refont surface."
